gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.039918011380568465e-05,3.543206778029679878e-03,2.214043627081663679e-03
-2.041721651707606572e-05,3.543206770146957191e-03,2.214043639696644354e-03
-2.043525292098200609e-05,3.543206762257264386e-03,2.214043652322778433e-03
-2.045328932545976825e-05,3.543206754360602329e-03,2.214043664960066351e-03
-2.047132573045200128e-05,3.543206746456970587e-03,2.214043677608508107e-03
-2.048936213590708022e-05,3.543206738546369160e-03,2.214043690268103701e-03
-2.050739854177853683e-05,3.543206730628797613e-03,2.214043702938853133e-03
-2.052543494802456497e-05,3.543206722704255948e-03,2.214043715620755536e-03
-2.054347135460752588e-05,3.543206714772744598e-03,2.214043728313812645e-03
-2.056150776149355856e-05,3.543206706834263996e-03,2.214043741018023592e-03
-2.057954416865216644e-05,3.543206698888813708e-03,2.214043753733388378e-03
-2.059758057605592599e-05,3.543206690936393736e-03,2.214043766459906134e-03
-2.061561698368013433e-05,3.543206682977004078e-03,2.214043779197578162e-03
-2.063365339150257548e-05,3.543206675010644301e-03,2.214043791946404896e-03
-2.065168979950324931e-05,3.543206667037315273e-03,2.214043804706384167e-03
-2.066972620766415806e-05,3.543206659057015259e-03,2.214043817477517710e-03
-2.068776261596908612e-05,3.543206651069746426e-03,2.214043830259805525e-03
-2.070579902440346454e-05,3.543206643075508342e-03,2.214043843053245877e-03
-2.072383543295417446e-05,3.543206635074299705e-03,2.214043855857840935e-03
-2.074187184160939469e-05,3.543206627066121384e-03,2.214043868673589831e-03
-2.075990825035850006e-05,3.543206619050973810e-03,2.214043881500492132e-03
-2.077794465919192247e-05,3.543206611028856118e-03,2.214043894338548271e-03
-2.079598106810104930e-05,3.543206602999769174e-03,2.214043907187758682e-03
-2.081401747707813528e-05,3.543206594963712111e-03,2.214043920048122064e-03
-2.083205388611619746e-05,3.543206586920684929e-03,2.214043932919640151e-03
-2.085009029520897459e-05,3.543206578870688496e-03,2.214043945802311644e-03
-2.086812670435080508e-05,3.543206570813722377e-03,2.214043958696136974e-03
-2.088616311353660337e-05,3.543206562749786140e-03,2.214043971601115709e-03
-2.090419952276179546e-05,3.543206554678880217e-03,2.214043984517248716e-03
-2.092223593202226817e-05,3.543206546601005043e-03,2.214043997444535127e-03
-2.094027234131430132e-05,3.543206538516160183e-03,2.214044010382976244e-03
-2.095830875063456100e-05,3.543206530424344337e-03,2.214044023332570332e-03
-2.097634515998005549e-05,3.543206522325559674e-03,2.214044036293318259e-03
-2.099438156934806750e-05,3.543206514219805758e-03,2.214044049265220457e-03
-2.101241797873617113e-05,3.543206506107081290e-03,2.214044062248276060e-03
-2.103045438814218104e-05,3.543206497987387571e-03,2.214044075242485067e-03
-2.104849079756411178e-05,3.543206489860724166e-03,2.214044088247848780e-03
-2.106652720700020491e-05,3.543206481727089775e-03,2.214044101264365464e-03
-2.108456361644885446e-05,3.543206473586487434e-03,2.214044114292035986e-03
-2.110260002590862724e-05,3.543206465438914106e-03,2.214044127330860780e-03
-2.112063643537822561e-05,3.543206457284371960e-03,2.214044140380839413e-03
-2.113867284485649082e-05,3.543206449122858828e-03,2.214044153441971884e-03
-2.115670925434236577e-05,3.543206440954376878e-03,2.214044166514258193e-03
-2.117474566383491534e-05,3.543206432778925677e-03,2.214044179597697472e-03
-2.119278207333329250e-05,3.543206424596503923e-03,2.214044192692291024e-03
-2.121081848283672136e-05,3.543206416407112050e-03,2.214044205798038414e-03
-2.122885489234452430e-05,3.543206408210750492e-03,2.214044218914940076e-03
-2.124689130185607113e-05,3.543206400007420549e-03,2.214044232042995143e-03
-2.126492771137081635e-05,3.543206391797119187e-03,2.214044245182204048e-03
