ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200041083153861621e+01,1.199999999999999858e+02,-5.578976465259544342e-15,3.137999999999877776e+00,-1.921470827862122300e-16,3.842941655724244599e-16
3.200041365333483157e+01,1.199999999999999858e+02,-5.617295663604864757e-15,3.117999999999879979e+00,-1.909224359870650274e-16,3.818448719741300548e-16
3.200041645709465143e+01,1.199999999999999858e+02,-5.655369932590356763e-15,3.097999999999882181e+00,-1.896977891879178001e-16,3.793955783758356003e-16
3.200041924281804739e+01,1.199999999999999858e+02,-5.693199272216020359e-15,3.077999999999884384e+00,-1.884731423887705729e-16,3.769462847775411458e-16
3.200042201050503365e+01,1.199999999999999858e+02,-5.730783682481848445e-15,3.057999999999886587e+00,-1.872484955896233703e-16,3.744969911792467407e-16
3.200042476015561022e+01,1.199999999999999858e+02,-5.768123163387847332e-15,3.037999999999888789e+00,-1.860238487904761431e-16,3.720476975809522862e-16
3.200042749176977708e+01,1.199999999999999858e+02,-5.805217714934017809e-15,3.017999999999890992e+00,-1.847992019913289159e-16,3.695984039826578317e-16
3.200043020534754135e+01,1.199999999999999858e+02,-5.842067337120359875e-15,2.997999999999893195e+00,-1.835745551921817133e-16,3.671491103843634265e-16
3.200043290088888881e+01,1.199999999999999858e+02,-5.878672029946873532e-15,2.977999999999895397e+00,-1.823499083930344860e-16,3.646998167860689721e-16
3.200043557839381947e+01,1.199999999999999858e+02,-5.915031793413558779e-15,2.957999999999897600e+00,-1.811252615938872588e-16,3.622505231877745176e-16
3.200043823786235464e+01,1.199999999999999858e+02,-5.951146627520415615e-15,2.937999999999899803e+00,-1.799006147947400562e-16,3.598012295894801124e-16
3.200044087929446590e+01,1.199999999999999858e+02,-5.987016532267442464e-15,2.917999999999902005e+00,-1.786759679955928290e-16,3.573519359911856580e-16
3.200044350269016746e+01,1.199999999999999858e+02,-6.022641507654634592e-15,2.897999999999904208e+00,-1.774513211964456264e-16,3.549026423928912528e-16
3.200044610804946643e+01,1.199999999999999858e+02,-6.058021553681998310e-15,2.877999999999906411e+00,-1.762266743972983992e-16,3.524533487945967983e-16
3.200044869537234860e+01,1.199999999999999858e+02,-6.093156670349533617e-15,2.857999999999908614e+00,-1.750020275981511719e-16,3.500040551963023438e-16
3.200045126465882817e+01,1.199999999999999858e+02,-6.128046857657240515e-15,2.837999999999910816e+00,-1.737773807990039693e-16,3.475547615980079387e-16
3.200045381590889093e+01,1.199999999999999858e+02,-6.162692115605119003e-15,2.817999999999913019e+00,-1.725527339998567421e-16,3.451054679997134842e-16
3.200045634912255110e+01,1.199999999999999858e+02,-6.197092444193169080e-15,2.797999999999915222e+00,-1.713280872007095149e-16,3.426561744014190297e-16
3.200045886429980158e+01,1.199999999999999858e+02,-6.231247843421390748e-15,2.777999999999917424e+00,-1.701034404015623123e-16,3.402068808031246246e-16
3.200046136144062814e+01,1.199999999999999858e+02,-6.265158313289779272e-15,2.757999999999919627e+00,-1.688787936024150850e-16,3.377575872048301701e-16
3.200046384054505921e+01,1.199999999999999858e+02,-6.298823853798336231e-15,2.737999999999921830e+00,-1.676541468032678578e-16,3.353082936065357156e-16
3.200046630161307348e+01,1.199999999999999858e+02,-6.332244464947064779e-15,2.717999999999924032e+00,-1.664295000041206552e-16,3.328590000082413105e-16
