ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-6.819640481185975040e-04,3.480430561722400434e-03,-5.997783842114941422e+00
-6.856083636174692365e-04,3.479733295490688386e-03,-5.997783831781774211e+00
-6.892519468481092407e-04,3.479032213361646451e-03,-5.997783821329522702e+00
-6.928947938149270912e-04,3.478327316104408082e-03,-5.997783810770342505e+00
-6.965369005231485501e-04,3.477618604492292188e-03,-5.997783800115169761e+00
-7.001782629788169763e-04,3.476906079302793592e-03,-5.997783789373851704e+00
-7.038188771888011317e-04,3.476189741317594305e-03,-5.997783778555251466e+00
-7.074587391607933384e-04,3.475469591322550948e-03,-5.997783767667347554e+00
-7.110978449033183687e-04,3.474745630107704299e-03,-5.997783756717320003e+00
-7.147361904257350717e-04,3.474017858467270178e-03,-5.997783745711634751e+00
-7.183737717382387587e-04,3.473286277199642055e-03,-5.997783734656110255e+00
-7.220105848518696594e-04,3.472550887107392781e-03,-5.997783723555984992e+00
-7.256466257785130309e-04,3.471811688997270256e-03,-5.997783712415974300e+00
-7.292818905309036027e-04,3.471068683680197855e-03,-5.997783701240325449e+00
-7.329163751226317565e-04,3.470321871971270532e-03,-5.997783690032860271e+00
-7.365500755681449359e-04,3.469571254689761321e-03,-5.997783678797019569e+00
-7.401829878827556695e-04,3.468816832659112667e-03,-5.997783667535902197e+00
-7.438151080826401612e-04,3.468058606706939887e-03,-5.997783656252297924e+00
-7.474464321848476147e-04,3.467296577665028579e-03,-5.997783644948720294e+00
-7.510769562073021845e-04,3.466530746369336780e-03,-5.997783633627430611e+00
-7.547066761688065546e-04,3.465761113659987600e-03,-5.997783622290464578e+00
-7.583355880890483344e-04,3.464987680381276160e-03,-5.997783610939659837e+00
-7.619636879886012518e-04,3.464210447381661350e-03,-5.997783599576667513e+00
-7.655909718889335018e-04,3.463429415513772768e-03,-5.997783588202975302e+00
-7.692174358124073122e-04,3.462644585634402482e-03,-5.997783576819925244e+00
-7.728430757822859912e-04,3.461855958604506765e-03,-5.997783565428724373e+00
-7.764678878227385898e-04,3.461063535289207391e-03,-5.997783554030462483e+00
-7.800918679588438043e-04,3.460267316557788173e-03,-5.997783542626121900e+00
-7.837150122165917115e-04,3.459467303283695391e-03,-5.997783531216584585e+00
-7.873373166228923338e-04,3.458663496344532157e-03,-5.997783519802647234e+00
-7.909587772055770485e-04,3.457855896622068388e-03,-5.997783508385029272e+00
-7.945793899934031415e-04,3.457044505002226931e-03,-5.997783496964379069e+00
-7.981991510160585781e-04,3.456229322375090063e-03,-5.997783485541281046e+00
-8.018180563041676402e-04,3.455410349634899063e-03,-5.997783474116261004e+00
-8.054361018892917945e-04,3.454587587680049438e-03,-5.997783462689795009e+00
-8.090532838039386906e-04,3.453761037413090925e-03,-5.997783451262315602e+00
-8.126695980815617278e-04,3.452930699740729657e-03,-5.997783439834205588e+00
-8.162850407565680781e-04,3.452096575573822962e-03,-5.997783428405818462e+00
-8.198996078643213965e-04,3.451258665827381094e-03,-5.997783416977469528e+00
-8.235132954411456159e-04,3.450416971420564635e-03,-5.997783405549444780e+00
-8.271260995243300430e-04,3.449571493276682756e-03,-5.997783394122004452e+00
-8.307380161521338031e-04,3.448722232323197991e-03,-5.997783382695381249e+00
-8.343490413637900689e-04,3.447869189491716696e-03,-5.997783371269787445e+00
-8.379591711995108307e-04,3.447012365717995117e-03,-5.997783359845414886e+00
-8.415684017004890650e-04,3.446151761941932019e-03,-5.997783348422437655e+00
-8.451767289089066491e-04,3.445287379107574328e-03,-5.997783337001012960e+00
-8.487841488679353369e-04,3.444419218163111054e-03,-5.997783325581285574e+00
-8.523906576217425051e-04,3.443547280060875460e-03,-5.997783314163383395e+00
-8.559962512154968995e-04,3.442671565757342463e-03,-5.997783302747428102e+00
-8.596009256953696109e-04,3.441792076213123861e-03,-5.997783291333526279e+00
-8.632046771085414476e-04,3.440908812392977009e-03,-5.997783279921775623e+00
-8.668075015032053205e-04,3.440021775265794408e-03,-5.997783268512265842e+00
-8.704093949285722064e-04,3.439130965804606307e-03,-5.997783257105080423e+00
-8.740103534348742922e-04,3.438236384986581573e-03,-5.997783245700293087e+00
-8.776103730733696368e-04,3.437338033793021618e-03,-5.997783234297971333e+00
-8.812094498963470501e-04,3.436435913209363868e-03,-5.997783222898181776e+00
-8.848075799571291289e-04,3.435530024225178728e-03,-5.997783211500981260e+00
-8.884047593100774607e-04,3.434620367834170448e-03,-5.997783200106421297e+00
-8.920009840105976116e-04,3.433706945034170187e-03,-5.997783188714554292e+00
-8.955962501151406435e-04,3.432789756827142082e-03,-5.997783177325422876e+00
-8.991905536812118968e-04,3.431868804219179777e-03,-5.997783165939072347e+00
-9.027838907673716405e-04,3.430944088220503393e-03,-5.997783154555540897e+00
-9.063762574332407101e-04,3.430015609845459956e-03,-5.997783143174865828e+00
-9.099676497395041939e-04,3.429083370112521664e-03,-5.997783131797080003e+00
-9.135580637479182638e-04,3.428147370044287191e-03,-5.997783120422217173e+00
-9.171474955213094159e-04,3.427207610667474310e-03,-5.997783109050306649e+00
-9.207359411235850957e-04,3.426264093012929002e-03,-5.997783097681376852e+00
-9.243233966197318555e-04,3.425316818115611579e-03,-5.997783086315455314e+00
-9.279098580758254368e-04,3.424365787014609693e-03,-5.997783074952566018e+00
