ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.086300000001058805e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.087200000000952969e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.088100000000857648e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.089000000000771848e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.089900000000694718e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.090800000000625118e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.091700000000562625e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.092600000000506384e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.093500000000455685e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.094400000000409960e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.095300000000369067e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.096200000000332011e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.097100000000298792e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.098000000000268841e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.098900000000241874e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.099800000000217750e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.100700000000195899e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.101600000000176323e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.102500000000158593e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.103400000000142853e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.104300000000128534e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.105200000000115637e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.106100000000104018e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.107000000000093536e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.107900000000084191e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.108800000000075698e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.109700000000068059e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.110600000000061272e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.111500000000055195e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.112400000000049687e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.113300000000044605e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.114200000000040092e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.115100000000036147e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.116000000000032486e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.116900000000029252e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.117800000000026301e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.118700000000023635e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.119600000000021254e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.120500000000019298e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.121400000000017201e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.122300000000015530e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.123200000000014001e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.124100000000012471e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.125000000000011227e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.125900000000009982e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.126800000000008879e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.127700000000007918e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.128600000000007100e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.129500000000006423e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.130400000000005747e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.131300000000005213e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.132200000000004678e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.133100000000004144e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.134000000000003752e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.134900000000003359e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.135800000000002967e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.136700000000002717e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.137600000000002325e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.138500000000002075e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.139400000000001967e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.140300000000001717e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.141200000000001467e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.142100000000001359e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.143000000000001108e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.143900000000001000e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.144800000000000750e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.145700000000000784e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.146600000000000676e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.147500000000000568e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.148400000000000603e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.149300000000000495e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.150200000000000529e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.151100000000000421e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.152000000000000313e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.152900000000000347e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.153800000000000239e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.154700000000000131e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.155600000000000165e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.156500000000000057e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.157399999999999949e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.158299999999999983e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.159199999999999875e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.160099999999999909e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.160999999999999801e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.161899999999999693e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.162799999999999727e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.163699999999999619e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.164599999999999511e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.165499999999999545e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.166399999999999437e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.167299999999999329e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.168199999999999363e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.169099999999999255e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.169999999999999289e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.170899999999999181e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.171799999999999073e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.172699999999999108e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.173599999999999000e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.174499999999998892e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.175399999999998926e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.176299999999998818e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.177199999999998852e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.178099999999998744e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.178999999999998636e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.179899999999998670e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.180799999999998562e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.181699999999998454e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.182599999999998488e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.183499999999998380e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.184399999999998272e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.185299999999998306e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.186199999999998198e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.187099999999998232e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.187999999999998124e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.188899999999998016e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.189799999999998050e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.190699999999997942e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.191599999999997834e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.192499999999997868e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.193399999999997760e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.194299999999997652e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.195199999999997686e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.196099999999997578e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.196999999999997613e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.197899999999997505e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.198799999999997397e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.199699999999997431e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.200599999999997323e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.201499999999997215e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.202399999999997249e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.203299999999997141e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.204199999999997175e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.205099999999997067e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.205999999999996959e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.206899999999996993e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.207799999999996885e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.208699999999996777e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.209599999999996811e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.210499999999996703e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.211399999999996595e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.212299999999996629e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.213199999999996521e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.214099999999996555e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.214999999999996447e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.215899999999996339e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.216799999999996373e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.217699999999996265e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.218599999999996157e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.219499999999996191e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.220399999999996083e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.221299999999995975e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.222199999999996010e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.223099999999995902e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.223999999999995936e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.224899999999995828e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.225799999999995720e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.226699999999995754e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.227599999999995646e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.228499999999995538e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.229399999999995572e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.230299999999995464e+02,0.000000000000000000e+00,1.800000000000000000e+02
