gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-5.833058213804114944e-04,3.497811928086651343e-03,-8.997716651913423291e+00
-5.887994078318068304e-04,3.496919556891958138e-03,-8.997723386063492867e+00
-5.942915896892963547e-04,3.496018556953786518e-03,-8.997729445062889297e+00
-5.997823529869536702e-04,3.495108930545388383e-03,-8.997734896427168394e+00
-6.052716838039105211e-04,3.494190679956972554e-03,-8.997739800920333764e+00
-6.107595682602296686e-04,3.493263807496076873e-03,-8.997744213229994514e+00
-6.162459925131956191e-04,3.492328315487899099e-03,-8.997748182575003639e+00
-6.217309427539764732e-04,3.491384206275612197e-03,-8.997751753252332563e+00
-6.272144052046268667e-04,3.490431482220639290e-03,-8.997754965129260540e+00
-6.326963661153915588e-04,3.489470145702909965e-03,-8.997757854086341212e+00
-6.381768117622870114e-04,3.488500199121100098e-03,-8.997760452416075694e+00
-6.436557284449222508e-04,3.487521644892839588e-03,-8.997762789181726006e+00
-6.491331024845442684e-04,3.486534485454910112e-03,-8.997764890540226546e+00
-6.546089202222856243e-04,3.485538723263420340e-03,-8.997766780032824485e+00
-6.600831680175850901e-04,3.484534360793971157e-03,-8.997768478846644769e+00
-6.655558322467727654e-04,3.483521400541797920e-03,-8.997770006050103575e+00
-6.710268993018011271e-04,3.482499845021907060e-03,-8.997771378804786835e+00
-6.764963555891042321e-04,3.481469696769197084e-03,-8.997772612556115490e+00
-6.819641875285769412e-04,3.480430958338568727e-03,-8.997773721204982422e+00
-6.874303815526569246e-04,3.479383632305025134e-03,-8.997774717262190691e+00
-6.928949241055042466e-04,3.478327721263763366e-03,-8.997775611987467670e+00
-6.983578016422655171e-04,3.477263227830254197e-03,-8.997776415514566750e+00
-7.038190006284148056e-04,3.476190154640318875e-03,-8.997777136963884814e+00
-7.092785075391642687e-04,3.475108504350194610e-03,-8.997777784543766089e+00
-7.147363088589387455e-04,3.474018279636599624e-03,-8.997778365641737608e+00
-7.201923910809018533e-04,3.472919483196779990e-03,-8.997778886906573348e+00
-7.256467407065371597e-04,3.471812117748565574e-03,-8.997779354322171130e+00
-7.310993442452742418e-04,3.470696186030413407e-03,-8.997779773274050541e+00
-7.365501882141520414e-04,3.469571690801441510e-03,-8.997780148609175299e+00
-7.419992591375242866e-04,3.468438634841474865e-03,-8.997780484689819502e+00
-7.474465435467925623e-04,3.467297020951065796e-03,-8.997780785442040852e+00
-7.528920279801739647e-04,3.466146851951529533e-03,-8.997781054399284884e+00
-7.583356989824922845e-04,3.464988130684966330e-03,-8.997781294741665548e+00
-7.637775431049951018e-04,3.463820860014286615e-03,-8.997781509331282734e+00
-7.692175469051908306e-04,3.462645042823225740e-03,-8.997781700744035049e+00
