accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.187243116258864140e-01,-1.199522190112419202e-15,9.794754659841030886e+00
4.187243110762685072e-01,-1.199522190129215431e-15,9.794754174970188743e+00
4.187243105053796710e-01,-1.199522190145998644e-15,9.794753690481737607e+00
4.187243099154110970e-01,-1.199522190162768446e-15,9.794753206377800225e+00
4.187243093083348744e-01,-1.199522190179524838e-15,9.794752722660499344e+00
4.187243086859267494e-01,-1.199522190196268213e-15,9.794752239331963040e+00
4.187243080497844994e-01,-1.199522190212997587e-15,9.794751756394303399e+00
4.187243074013470290e-01,-1.199522190229713549e-15,9.794751273849641393e+00
4.187243067419094689e-01,-1.199522190246416298e-15,9.794750791700097992e+00
4.187243060726377197e-01,-1.199522190263104454e-15,9.794750309947778177e+00
4.187243053945816640e-01,-1.199522190279779593e-15,9.794749828594806473e+00
4.187243047086862124e-01,-1.199522190296440335e-15,9.794749347643286086e+00
4.187243040158022955e-01,-1.199522190313087469e-15,9.794748867095330880e+00
4.187243033166960227e-01,-1.199522190329720602e-15,9.794748386953049391e+00
4.187243026120571754e-01,-1.199522190346339534e-15,9.794747907218543048e+00
4.187243019025070900e-01,-1.199522190362944267e-15,9.794747427893918612e+00
4.187243011886052635e-01,-1.199522190379534998e-15,9.794746948981281065e+00
4.187243004708554039e-01,-1.199522190396111333e-15,9.794746470482730061e+00
4.187242997497109820e-01,-1.199522190412673270e-15,9.794745992400359924e+00
4.187242990255811703e-01,-1.199522190429220416e-15,9.794745514736270309e+00
4.187242982988337858e-01,-1.199522190445753560e-15,9.794745037492560868e+00
4.187242975698006187e-01,-1.199522190462271716e-15,9.794744560671318823e+00
4.187242968387805964e-01,-1.199522190478775475e-15,9.794744084274638496e+00
4.187242961060429480e-01,-1.199522190495264837e-15,9.794743608304614213e+00
4.187242953718301464e-01,-1.199522190511738817e-15,9.794743132763322535e+00
4.187242946363612384e-01,-1.199522190528197611e-15,9.794742657652854234e+00
4.187242938998332331e-01,-1.199522190544642008e-15,9.794742182975298306e+00
4.187242931624240438e-01,-1.199522190561071614e-15,9.794741708732734864e+00
4.187242924242938757e-01,-1.199522190577485640e-15,9.794741234927240470e+00
4.187242916855876129e-01,-1.199522190593884875e-15,9.794740761560895237e+00
4.187242909464355956e-01,-1.199522190610268530e-15,9.794740288635773950e+00
4.187242902069554518e-01,-1.199522190626636999e-15,9.794739816153954948e+00
4.187242894672538185e-01,-1.199522190642989889e-15,9.794739344117505908e+00
4.187242887274263969e-01,-1.199522190659327593e-15,9.794738872528503393e+00
4.187242879875602286e-01,-1.199522190675649519e-15,9.794738401389009752e+00
4.187242872477335287e-01,-1.199522190691956260e-15,9.794737930701096218e+00
4.187242865080172960e-01,-1.199522190708247027e-15,9.794737460466823364e+00
4.187242857684755348e-01,-1.199522190724522016e-15,9.794736990688258871e+00
4.187242850291662544e-01,-1.199522190740781031e-15,9.794736521367456206e+00
4.187242842901421902e-01,-1.199522190757024663e-15,9.794736052506481272e+00
4.187242835514507489e-01,-1.199522190773252124e-15,9.794735584107387538e+00
4.187242828131351735e-01,-1.199522190789463215e-15,9.794735116172226697e+00
4.187242820752346550e-01,-1.199522190805658727e-15,9.794734648703057545e+00
4.187242813377847761e-01,-1.199522190821837672e-15,9.794734181701924669e+00
4.187242806008178997e-01,-1.199522190838000643e-15,9.794733715170879762e+00
4.187242798643633912e-01,-1.199522190854147246e-15,9.794733249111969187e+00
4.187242791284482291e-01,-1.199522190870277282e-15,9.794732783527235753e+00
4.187242783930966716e-01,-1.199522190886391541e-15,9.794732318418725825e+00
4.187242776583312009e-01,-1.199522190902488247e-15,9.794731853788468001e+00
4.187242769241720786e-01,-1.199522190918568783e-15,9.794731389638513974e+00
4.187242761906381783e-01,-1.199522190934632949e-15,9.794730925970894120e+00
4.187242754577464865e-01,-1.199522190950679957e-15,9.794730462787638814e+00
4.187242747255128794e-01,-1.199522190966710203e-15,9.794730000090785538e+00
4.187242739939516789e-01,-1.199522190982723882e-15,9.794729537882361114e+00
4.187242732630763742e-01,-1.199522190998720600e-15,9.794729076164394144e+00
4.187242725328993442e-01,-1.199522191014699964e-15,9.794728614938907896e+00
4.187242718034318023e-01,-1.199522191030662564e-15,9.794728154207927417e+00
4.187242710746846286e-01,-1.199522191046607810e-15,9.794727693973472427e+00
4.187242703466675375e-01,-1.199522191062536095e-15,9.794727234237562641e+00
4.187242696193896885e-01,-1.199522191078446828e-15,9.794726775002212449e+00
4.187242688928596857e-01,-1.199522191094340206e-15,9.794726316269438016e+00
4.187242681670855782e-01,-1.199522191110216229e-15,9.794725858041250177e+00
4.187242674420749711e-01,-1.199522191126074699e-15,9.794725400319661546e+00
4.187242667178349143e-01,-1.199522191141915815e-15,9.794724943106679405e+00
4.187242659943721801e-01,-1.199522191157738590e-15,9.794724486404302155e+00
4.187242652716930968e-01,-1.199522191173544602e-15,9.794724030214545962e+00
4.187242645498036042e-01,-1.199522191189331878e-15,9.794723574539398570e+00
4.187242638287096974e-01,-1.199522191205101799e-15,9.794723119380867260e+00
4.187242631084165945e-01,-1.199522191220853970e-15,9.794722664740948659e+00
4.187242623889297355e-01,-1.199522191236587801e-15,9.794722210621630509e+00
4.187242616702539499e-01,-1.199522191252303685e-15,9.794721757024909436e+00
4.187242609523942893e-01,-1.199522191268001426e-15,9.794721303952774960e+00
4.187242602353553611e-01,-1.199522191283681220e-15,9.794720851407214823e+00
4.187242595191416061e-01,-1.199522191299342672e-15,9.794720399390213217e+00
4.187242588037576319e-01,-1.199522191314985587e-15,9.794719947903750779e+00
4.187242580892073240e-01,-1.199522191330609963e-15,9.794719496949809923e+00
4.187242573754951791e-01,-1.199522191346216196e-15,9.794719046530369511e+00
4.187242566626249718e-01,-1.199522191361803890e-15,9.794718596647403075e+00
4.187242559506006989e-01,-1.199522191377372849e-15,9.794718147302885924e+00
4.187242552394263573e-01,-1.199522191392923072e-15,9.794717698498786262e+00
4.187242545291055551e-01,-1.199522191408454363e-15,9.794717250237074069e+00
4.187242538196420116e-01,-1.199522191423967313e-15,9.794716802519719323e+00
4.187242531110395016e-01,-1.199522191439461132e-15,9.794716355348681347e+00
4.187242524033014668e-01,-1.199522191454936020e-15,9.794715908725919462e+00
4.187242516964314043e-01,-1.199522191470391777e-15,9.794715462653398319e+00
4.187242509904330334e-01,-1.199522191485828404e-15,9.794715017133071910e+00
4.187242502853096293e-01,-1.199522191501246099e-15,9.794714572166894229e+00
4.187242495810646337e-01,-1.199522191516644861e-15,9.794714127756822819e+00
4.187242488777013216e-01,-1.199522191532023704e-15,9.794713683904795687e+00
4.187242481752231904e-01,-1.199522191547383418e-15,9.794713240612765048e+00
4.187242474736335707e-01,-1.199522191562723804e-15,9.794712797882679567e+00
4.187242467729355155e-01,-1.199522191578044666e-15,9.794712355716477248e+00
4.187242460731324667e-01,-1.199522191593346201e-15,9.794711914116097873e+00
4.187242453742276438e-01,-1.199522191608627620e-15,9.794711473083474118e+00
4.187242446762242110e-01,-1.199522191623889515e-15,9.794711032620549318e+00
4.187242439791254434e-01,-1.199522191639131688e-15,9.794710592729249043e+00
4.187242432829344496e-01,-1.199522191654354140e-15,9.794710153411505971e+00
4.187242425876543384e-01,-1.199522191669556673e-15,9.794709714669245670e+00
4.187242418932884958e-01,-1.199522191684739287e-15,9.794709276504393713e+00
4.187242411998397529e-01,-1.199522191699901588e-15,9.794708838918868565e+00
4.187242405073113849e-01,-1.199522191715043970e-15,9.794708401914594020e+00
4.187242398157065559e-01,-1.199522191730166434e-15,9.794707965493484991e+00
4.187242391250282636e-01,-1.199522191745268190e-15,9.794707529657454614e+00
4.187242384352796720e-01,-1.199522191760350224e-15,9.794707094408417802e+00
4.187242377464638343e-01,-1.199522191775411157e-15,9.794706659748277033e+00
4.187242370585836371e-01,-1.199522191790452368e-15,9.794706225678948996e+00
4.187242363716424665e-01,-1.199522191805472871e-15,9.794705792202330841e+00
4.187242356856432091e-01,-1.199522191820472864e-15,9.794705359320325044e+00
4.187242350005888625e-01,-1.199522191835452149e-15,9.794704927034828756e+00
4.187242343164825353e-01,-1.199522191850410530e-15,9.794704495347740902e+00
4.187242336333271697e-01,-1.199522191865348202e-15,9.794704064260953302e+00
4.187242329511258188e-01,-1.199522191880265562e-15,9.794703633776359553e+00
4.187242322698817021e-01,-1.199522191895161623e-15,9.794703203895844368e+00
4.187242315895974842e-01,-1.199522191910036581e-15,9.794702774621294239e+00
4.187242309102764404e-01,-1.199522191924891029e-15,9.794702345954595657e+00
4.187242302319214571e-01,-1.199522191939724178e-15,9.794701917897624455e+00
4.187242295545354209e-01,-1.199522191954536028e-15,9.794701490452258241e+00
4.187242288781215516e-01,-1.199522191969326775e-15,9.794701063620374626e+00
4.187242282026826246e-01,-1.199522191984096223e-15,9.794700637403844112e+00
4.187242275282217485e-01,-1.199522191998844175e-15,9.794700211804535428e+00
4.187242268547418655e-01,-1.199522192013570828e-15,9.794699786824317300e+00
4.187242261822458622e-01,-1.199522192028276181e-15,9.794699362465053127e+00
4.187242255107366806e-01,-1.199522192042959841e-15,9.794698938728604531e+00
4.187242248402174294e-01,-1.199522192057621807e-15,9.794698515616827805e+00
4.187242241706909951e-01,-1.199522192072262474e-15,9.794698093131584571e+00
4.187242235021602088e-01,-1.199522192086881052e-15,9.794697671274722239e+00
4.187242228346281236e-01,-1.199522192101478134e-15,9.794697250048093551e+00
4.187242221680976262e-01,-1.199522192116053129e-15,9.794696829453545917e+00
4.187242215025716030e-01,-1.199522192130606232e-15,9.794696409492923195e+00
4.187242208380532182e-01,-1.199522192145137444e-15,9.794695990168071020e+00
4.187242201745449699e-01,-1.199522192159646568e-15,9.794695571480822593e+00
4.187242195120501331e-01,-1.199522192174133802e-15,9.794695153433019996e+00
4.187242188505714835e-01,-1.199522192188598552e-15,9.794694736026492876e+00
4.187242181901119631e-01,-1.199522192203041215e-15,9.794694319263076210e+00
