ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
9.902437633706285824e-01,1.393459332222309333e-01,1.224646799147353207e-16
9.901706662734707232e-01,1.398644045193454810e-01,1.224646799147353207e-16
9.900972977154087751e-01,1.403828374718402716e-01,1.224646799147353207e-16
9.900236577165574259e-01,1.409012319375839983e-01,1.224646799147353207e-16
9.899497462971051931e-01,1.414195877744558738e-01,1.224646799147353207e-16
9.898755634773155343e-01,1.419379048403456578e-01,1.224646799147353207e-16
9.898011092775260700e-01,1.424561829931538515e-01,1.224646799147353207e-16
9.897263837181486945e-01,1.429744220907915309e-01,1.224646799147353207e-16
9.896513868196700203e-01,1.434926219911804857e-01,1.224646799147353207e-16
9.895761186026508227e-01,1.440107825522533025e-01,1.224646799147353207e-16
9.895005790877262619e-01,1.445289036319533371e-01,1.224646799147353207e-16
9.894247682956058831e-01,1.450469850882347145e-01,1.224646799147353207e-16
9.893486862470737275e-01,1.455650267790625230e-01,1.224646799147353207e-16
9.892723329629882212e-01,1.460830285624126201e-01,1.224646799147353207e-16
9.891957084642818421e-01,1.466009902962719658e-01,1.224646799147353207e-16
9.891188127719616752e-01,1.471189118386383443e-01,1.224646799147353207e-16
9.890416459071091904e-01,1.476367930475206425e-01,1.224646799147353207e-16
9.889642078908801315e-01,1.481546337809387937e-01,1.224646799147353207e-16
9.888864987445044052e-01,1.486724338969238612e-01,1.224646799147353207e-16
9.888085184892866364e-01,1.491901932535179276e-01,1.224646799147353207e-16
9.887302671466055015e-01,1.497079117087743994e-01,1.224646799147353207e-16
9.886517447379138401e-01,1.502255891207578131e-01,1.224646799147353207e-16
9.885729512847393208e-01,1.507432253475439465e-01,1.224646799147353207e-16
9.884938868086834418e-01,1.512608202472199015e-01,1.224646799147353207e-16
9.884145513314221976e-01,1.517783736778841042e-01,1.224646799147353207e-16
9.883349448747058563e-01,1.522958854976463605e-01,1.224646799147353207e-16
9.882550674603589602e-01,1.528133555646278285e-01,1.224646799147353207e-16
