ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200017432580352050e+01,1.200001770343706369e+02,-3.429011037612632663e-15,4.930203201022931303e-01,3.969500089931505826e+00,4.898587196589412829e-16
3.200017473665406698e+01,1.200001812398673025e+02,-3.477996909578527669e-15,4.097812549884941036e-01,3.978954551519790162e+00,4.898587196589412829e-16
3.200017507236226066e+01,1.200001854545386522e+02,-3.526982781544422675e-15,3.263624462728600406e-01,3.986663712136100823e+00,4.898587196589412829e-16
3.200017533278083448e+01,1.200001896765359675e+02,-3.575968653510317287e-15,2.428004842019110265e-01,3.992624190287800801e+00,4.898587196589412829e-16
3.200017551779558289e+01,1.200001939040073182e+02,-3.624954525476212292e-15,1.591320218139600229e-01,3.996833371512177546e+00,4.898587196589412829e-16
3.200017562732532639e+01,1.200001981350984011e+02,-3.673940397442107298e-15,7.539375886187892062e-02,3.999289409523231420e+00,4.898587196589412829e-16
3.200017566132203939e+01,1.200002023679533067e+02,-3.722926269408002304e-15,-8.377574284626019413e-03,3.999991227021517659e+00,4.898587196589412829e-16
3.200017561977080760e+01,1.200002066007153729e+02,-3.771912141373897310e-15,-9.214523275016830994e-02,3.998938516166686163e+00,4.898587196589412829e-16
3.200017550268985644e+01,1.200002108315279941e+02,-3.820898013339792316e-15,-1.758724732711979544e-01,3.996131738712510373e+00,4.898587196589412829e-16
3.200017531013052974e+01,1.200002150585353320e+02,-3.869883885305687322e-15,-2.595225703128112849e-01,3.991572125804346616e+00,4.898587196589412829e-16
3.200017504217730391e+01,1.200002192798833391e+02,-3.918869757271582328e-15,-3.430588321777842675e-01,3.985261677439113193e+00,4.898587196589412829e-16
3.200017469894770983e+01,1.200002234937203553e+02,-3.967855629237477334e-15,-4.264446171007637010e-01,3.977203161588025004e+00,4.898587196589412829e-16
3.200017428059229019e+01,1.200002276981980600e+02,-4.016841501203372340e-15,-5.096433493205563270e-01,3.967400112982471416e+00,4.898587196589412829e-16
3.200017378729456397e+01,1.200002318914722110e+02,-4.065827373169267345e-15,-5.926185351234668497e-01,3.955856831563563603e+00,4.898587196589412829e-16
3.200017321927089142e+01,1.200002360717034975e+02,-4.114813245135162351e-15,-6.753337788506464934e-01,3.942578380596041487e+00,4.898587196589412829e-16
3.200017257677044569e+01,1.200002402370583638e+02,-4.163799117101057357e-15,-7.577527988624321864e-01,3.927570584447356516e+00,4.898587196589412829e-16
3.200017186007502801e+01,1.200002443857096921e+02,-4.212784989066952363e-15,-8.398394434526726959e-01,3.910840026032911698e+00,4.898587196589412829e-16
3.200017106949902512e+01,1.200002485158378107e+02,-4.261770861032847369e-15,-9.215577067060618521e-01,3.892394043928577574e+00,4.898587196589412829e-16
3.200017020538918899e+01,1.200002526256310347e+02,-4.310756732998742375e-15,-1.002871744291522704e+00,3.872240729151750216e+00,4.898587196589412829e-16
3.200016926812456575e+01,1.200002567132867028e+02,-4.359742604964637381e-15,-1.083745889184716260e+00,3.850388921612364790e+00,4.898587196589412829e-16
3.200016825811626120e+01,1.200002607770118459e+02,-4.408728476930532387e-15,-1.164144667312776882e+00,3.826848206235416328e+00,4.898587196589412829e-16
3.200016717580729875e+01,1.200002648150239537e+02,-4.457714348896427393e-15,-1.244032813114413383e+00,3.801628908756697456e+00,4.898587196589412829e-16
3.200016602167241331e+01,1.200002688255518279e+02,-4.506700220862322399e-15,-1.323375285008548730e+00,3.774742091193588056e+00,4.898587196589412829e-16
3.200016479621785237e+01,1.200002728068363211e+02,-4.555686092828217404e-15,-1.402137280764717442e+00,3.746199546992888596e+00,4.898587196589412829e-16
3.200016349998113441e+01,1.200002767571310756e+02,-4.604671964794112410e-15,-1.480284252768472530e+00,3.716013795857825652e+00,4.898587196589412829e-16
3.200016213353083572e+01,1.200002806747034043e+02,-4.653657836760007416e-15,-1.557781923175111105e+00,3.684198078256494924e+00,4.898587196589412829e-16
3.200016069746632041e+01,1.200002845578349167e+02,-4.702643708725902422e-15,-1.634596298945071524e+00,3.650766349614156692e+00,4.898587196589412829e-16
3.200015919241749884e+01,1.200002884048223279e+02,-4.751629580691797428e-15,-1.710693686754401810e+00,3.615733274191921698e+00,4.898587196589412829e-16
3.200015761904454337e+01,1.200002922139782271e+02,-4.800615452657692434e-15,-1.786040707773766556e+00,3.579114218654523949e+00,4.898587196589412829e-16
3.200015597803756862e+01,1.200002959836317871e+02,-4.849601324623587440e-15,-1.860604312309504627e+00,3.540925245329993754e+00,4.898587196589412829e-16
3.200015427011638991e+01,1.200002997121295039e+02,-4.898587196589482446e-15,-1.934351794300316341e+00,3.501183105164188181e+00,4.898587196589412829e-16
3.200015249603016088e+01,1.200003033978359639e+02,-4.947573068555377452e-15,-2.007250805663223225e+00,3.459905230373274243e+00,4.898587196589412829e-16
3.200015065655703239e+01,1.200003070391344409e+02,-4.996558940521272457e-15,-2.079269370482507373e+00,3.417109726797381786e+00,4.898587196589412829e-16
3.200014875250387547e+01,1.200003106344278052e+02,-5.045544812487167463e-15,-2.150375899035402494e+00,3.372815365958783840e+00,4.898587196589412829e-16
3.200014678470586915e+01,1.200003141821390074e+02,-5.094530684453062469e-15,-2.220539201648392691e+00,3.327041576828086100e+00,4.898587196589412829e-16
3.200014475402615233e+01,1.200003176807119019e+02,-5.143516556418957475e-15,-2.289728502378033159e+00,3.279808437302039970e+00,4.898587196589412829e-16
3.200014266135544716e+01,1.200003211286119296e+02,-5.192502428384852481e-15,-2.357913452510296715e+00,3.231136665396710406e+00,4.898587196589412829e-16
3.200014050761166828e+01,1.200003245243266718e+02,-5.241488300350747487e-15,-2.425064143872520450e+00,3.181047610159872807e+00,4.898587196589412829e-16
3.200013829373952490e+01,1.200003278663666890e+02,-5.290474172316642493e-15,-2.491151121952122516e+00,3.129563242306613091e+00,4.898587196589412829e-16
3.200013602071008023e+01,1.200003311532660462e+02,-5.339460044282537499e-15,-2.556145398816322523e+00,3.076706144582245006e+00,4.898587196589412829e-16
3.200013368952037496e+01,1.200003343835830236e+02,-5.388445916248432505e-15,-2.620018465827206100e+00,3.022499501856775073e+00,4.898587196589412829e-16
3.200013130119293692e+01,1.200003375559006571e+02,-5.437431788214327511e-15,-2.682742306146558064e+00,2.966967090955247688e+00,4.898587196589412829e-16
3.200012885677536900e+01,1.200003406688275049e+02,-5.486417660180222516e-15,-2.744289407024972149e+00,2.910133270228448588e+00,4.898587196589412829e-16
3.200012635733987310e+01,1.200003437209981030e+02,-5.535403532146117522e-15,-2.804632771869852270e+00,2.852022968868523911e+00,4.898587196589412829e-16
3.200012380398278822e+01,1.200003467110736892e+02,-5.584389404112012528e-15,-2.863745932087010893e+00,2.792661675974212443e+00,4.898587196589412829e-16
3.200012119782409314e+01,1.200003496377427297e+02,-5.633375276077907534e-15,-2.921602958690667773e+00,2.732075429370488084e+00,4.898587196589412829e-16
3.200011854000694456e+01,1.200003524997214583e+02,-5.682361148043802540e-15,-2.978178473676762472e+00,2.670290804187504197e+00,4.898587196589412829e-16
