gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200010587514989879e+01,1.200003638636416099e+02,-5.878304635907161683e-15,-2.401880428237318288e+00,1.797490030139392791e+00,3.673940397442059375e-16
3.200010369770298269e+01,1.200003657478537775e+02,-5.915044039881580965e-15,-2.429817860477770708e+00,1.759541180223762158e+00,3.673940397442059375e-16
3.200010149530430681e+01,1.200003675916978665e+02,-5.951783443856000247e-15,-2.457155771519295318e+00,1.721158189850490405e+00,3.673940397442059375e-16
3.200009926849728714e+01,1.200003693947189163e+02,-5.988522847830419529e-15,-2.483887416141408622e+00,1.682350529448116472e+00,3.673940397442059375e-16
3.200009701783133664e+01,1.200003711564720703e+02,-6.025262251804838812e-15,-2.510006198710794223e+00,1.643127774226152527e+00,3.673940397442059375e-16
3.200009474386178709e+01,1.200003728765226612e+02,-6.062001655779258094e-15,-2.535505674808677057e+00,1.603499601812546915e+00,3.673940397442059375e-16
3.200009244714970436e+01,1.200003745544462674e+02,-6.098741059753677376e-15,-2.560379552820886584e+00,1.563475789865873544e+00,3.673940397442059375e-16
3.200009012826176757e+01,1.200003761898288843e+02,-6.135480463728096658e-15,-2.584621695490219029e+00,1.523066213662841450e+00,3.673940397442059375e-16
3.200008778777012708e+01,1.200003777822670514e+02,-6.172219867702515941e-15,-2.608226121430714528e+00,1.482280843661716974e+00,3.673940397442059375e-16
3.200008542625226227e+01,1.200003793313678102e+02,-6.208959271676935223e-15,-2.631187006603472156e+00,1.441129743042263378e+00,3.673940397442059375e-16
3.200008304429084660e+01,1.200003808367489739e+02,-6.245698675651354505e-15,-2.653498685753646669e+00,1.399623065222801443e+00,3.673940397442059375e-16
