ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200007870432688861e+01,1.200000102309608394e+02,-1.077689183249681255e-15,1.949288334182026849e+00,4.475209383055266388e-01,2.449293598294706414e-16
3.200008046127728534e+01,1.200000107094214599e+02,-1.102182119232628758e-15,1.946918410373077446e+00,4.577212070140175837e-01,2.449293598294706414e-16
3.200008221606879033e+01,1.200000111986708617e+02,-1.126675055215576261e-15,1.944495110812428873e+00,4.679089270644020693e-01,2.449293598294706414e-16
3.200008396865326432e+01,1.200000116986956300e+02,-1.151167991198523764e-15,1.942018501936062735e+00,4.780838191551884941e-01,2.449293598294706414e-16
3.200008571898266752e+01,1.200000122094820796e+02,-1.175660927181471267e-15,1.939488651641462225e+00,4.882456043365704934e-01,2.449293598294706414e-16
3.200008746700901696e+01,1.200000127310161844e+02,-1.200153863164418770e-15,1.936905629285751163e+00,4.983940040180740993e-01,2.449293598294706414e-16
3.200008921268439366e+01,1.200000132632836625e+02,-1.224646799147366273e-15,1.934269505683792412e+00,5.085287399761956317e-01,2.449293598294706414e-16
3.200009095596092834e+01,1.200000138062699193e+02,-1.249139735130313776e-15,1.931580353106246095e+00,5.186495343620292076e-01,2.449293598294706414e-16
3.200009269679083701e+01,1.200000143599600335e+02,-1.273632671113261279e-15,1.928838245277588515e+00,5.287561097088843143e-01,2.449293598294706414e-16
3.200009443512639251e+01,1.200000149243388847e+02,-1.298125607096208782e-15,1.926043257374090656e+00,5.388481889398923919e-01,2.449293598294706414e-16
3.200009617091993164e+01,1.200000154993909547e+02,-1.322618543079156284e-15,1.923195466021758282e+00,5.489254953756036448e-01,2.449293598294706414e-16
3.200009790412386934e+01,1.200000160851004836e+02,-1.347111479062103787e-15,1.920294949294229614e+00,5.589877527415713088e-01,2.449293598294706414e-16
3.200009963469069874e+01,1.200000166814514273e+02,-1.371604415045051290e-15,1.917341786710635931e+00,5.690346851759269242e-01,2.449293598294706414e-16
3.200010136257296267e+01,1.200000172884274576e+02,-1.396097351027998793e-15,1.914336059233421317e+00,5.790660172369426206e-01,2.449293598294706414e-16
3.200010308772329637e+01,1.200000179060118910e+02,-1.420590287010946296e-15,1.911277849266122653e+00,5.890814739105826314e-01,2.449293598294706414e-16
3.200010481009439189e+01,1.200000185341878307e+02,-1.445083222993893799e-15,1.908167240651111429e+00,5.990807806180430406e-01,2.449293598294706414e-16
3.200010652963904789e+01,1.200000191729380248e+02,-1.469576158976841302e-15,1.905004318667293806e+00,6.090636632232792058e-01,2.449293598294706414e-16
3.200010824631011985e+01,1.200000198222450081e+02,-1.494069094959788805e-15,1.901789170027773812e+00,6.190298480405218573e-01,2.449293598294706414e-16
3.200010996006053432e+01,1.200000204820909175e+02,-1.518562030942736308e-15,1.898521882877475475e+00,6.289790618417797630e-01,2.449293598294706414e-16
3.200011167084331021e+01,1.200000211524576912e+02,-1.543054966925683811e-15,1.895202546790726528e+00,6.389110318643307362e-01,2.449293598294706414e-16
3.200011337861155170e+01,1.200000218333269828e+02,-1.567547902908631314e-15,1.891831252768802596e+00,6.488254858181995433e-01,2.449293598294706414e-16
3.200011508331843402e+01,1.200000225246801051e+02,-1.592040838891578817e-15,1.888408093237432306e+00,6.587221518936228204e-01,2.449293598294706414e-16
3.200011678491722478e+01,1.200000232264980724e+02,-1.616533774874526320e-15,1.884933162044263311e+00,6.686007587685007802e-01,2.449293598294706414e-16
3.200011848336126974e+01,1.200000239387616858e+02,-1.641026710857473823e-15,1.881406554456289681e+00,6.784610356158358169e-01,2.449293598294706414e-16
3.200012017860401414e+01,1.200000246614514197e+02,-1.665519646840421326e-15,1.877828367157239775e+00,6.883027121111572333e-01,2.449293598294706414e-16
3.200012187059896718e+01,1.200000253945474213e+02,-1.690012582823368829e-15,1.874198698244926131e+00,6.981255184399325353e-01,2.449293598294706414e-16
3.200012355929975882e+01,1.200000261380296251e+02,-1.714505518806316332e-15,1.870517647228555180e+00,7.079291853049641814e-01,2.449293598294706414e-16
3.200012524466007591e+01,1.200000268918776527e+02,-1.738998454789263835e-15,1.866785315026000314e+00,7.177134439337728988e-01,2.449293598294706414e-16
3.200012692663372604e+01,1.200000276560707988e+02,-1.763491390772211338e-15,1.863001803961034097e+00,7.274780260859656789e-01,2.449293598294706414e-16
