ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.045651162294284064e-01,-1.199522193175894263e-15,9.794797589511933467e+00
1.045651160269144148e-01,-1.199522193193545223e-15,9.794797462191027648e+00
1.045651158244195467e-01,-1.199522193211194408e-15,9.794797334882156647e+00
1.045651156219438577e-01,-1.199522193228841621e-15,9.794797207585347110e+00
1.045651154194874033e-01,-1.199522193246487650e-15,9.794797080300645220e+00
1.045651152170502807e-01,-1.199522193264131708e-15,9.794796953028077624e+00
1.045651150146325037e-01,-1.199522193281773793e-15,9.794796825767679849e+00
1.045651148122341279e-01,-1.199522193299414892e-15,9.794796698519496303e+00
1.045651146098552225e-01,-1.199522193317054019e-15,9.794796571283550080e+00
1.045651144074958294e-01,-1.199522193334691371e-15,9.794796444059880258e+00
1.045651142051560178e-01,-1.199522193352326949e-15,9.794796316848524143e+00
1.045651140028358433e-01,-1.199522193369961145e-15,9.794796189649513707e+00
1.045651138005353337e-01,-1.199522193387593370e-15,9.794796062462886255e+00
1.045651135982545860e-01,-1.199522193405223819e-15,9.794795935288671984e+00
1.045651133959936419e-01,-1.199522193422852691e-15,9.794795808126909975e+00
1.045651131937525569e-01,-1.199522193440479788e-15,9.794795680977633978e+00
1.045651129915313587e-01,-1.199522193458105110e-15,9.794795553840879521e+00
1.045651127893301308e-01,-1.199522193475728657e-15,9.794795426716680353e+00
1.045651125871489145e-01,-1.199522193493350429e-15,9.794795299605072003e+00
1.045651123849878072e-01,-1.199522193510970426e-15,9.794795172506086445e+00
1.045651121828467950e-01,-1.199522193528588846e-15,9.794795045419764534e+00
1.045651119807259888e-01,-1.199522193546205293e-15,9.794794918346134693e+00
1.045651117786254303e-01,-1.199522193563820360e-15,9.794794791285237778e+00
1.045651115765451472e-01,-1.199522193581433257e-15,9.794794664237103987e+00
