ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
-2.859535456461648932e-04,9.999999941970103556e-01,9.794839854259874912e+00
-2.867263957344729202e-04,9.999999947773091646e-01,9.794839842867652635e+00
-2.874992458448768790e-04,9.999999952995781705e-01,9.794839831444681622e+00
-2.882720959773902138e-04,9.999999957696201758e-01,9.794839819990963647e+00
-2.890449461320310849e-04,9.999999961926580028e-01,9.794839808506498713e+00
-2.898177963088215017e-04,9.999999965733921137e-01,9.794839796991288594e+00
-2.905906465077871055e-04,9.999999969160527913e-01,9.794839785445327962e+00
-2.913634967289569530e-04,9.999999972244474344e-01,9.794839773868622146e+00
-2.921363469723629739e-04,9.999999975020025245e-01,9.794839762261167593e+00
-2.929091972380397542e-04,9.999999977518021499e-01,9.794839750622966079e+00
-2.936820475260242111e-04,9.999999979766217573e-01,9.794839738954019381e+00
-2.944548978363554842e-04,9.999999981789594594e-01,9.794839727254323947e+00
-2.952277481690743937e-04,9.999999983610633469e-01,9.794839715523881551e+00
-2.960005985242239825e-04,9.999999985249569123e-01,9.794839703762693972e+00
-2.967734489018483777e-04,9.999999986724611434e-01,9.794839691970754103e+00
-2.975462993019933867e-04,9.999999988052149513e-01,9.794839680148069050e+00
-2.983191497247060639e-04,9.999999989246933785e-01,9.794839668294637036e+00
-2.990920001700344937e-04,9.999999990322239185e-01,9.794839656410458062e+00
-2.998648506380277904e-04,9.999999991290013934e-01,9.794839644495532127e+00
-3.006377011287361526e-04,9.999999992161011653e-01,9.794839632549859232e+00
-3.014105516422104294e-04,9.999999992944909044e-01,9.794839620573437600e+00
-3.021834021785023915e-04,9.999999993650416918e-01,9.794839608566270783e+00
-3.029562527376642974e-04,9.999999994285373450e-01,9.794839596528355230e+00
-3.037291033197490561e-04,9.999999994856835217e-01,9.794839584459694493e+00
-3.045019539248101188e-04,9.999999995371150474e-01,9.794839572360283242e+00
-3.052748045529016956e-04,9.999999995834034650e-01,9.794839560230125031e+00
-3.060476552040780509e-04,9.999999996250630296e-01,9.794839548069225188e+00
-3.068205058783940995e-04,9.999999996625565934e-01,9.794839535877569503e+00
-3.075933565759048647e-04,9.999999996963008231e-01,9.794839523655172187e+00
-3.083662072966660201e-04,9.999999997266706409e-01,9.794839511402026133e+00
-3.091390580407331855e-04,9.999999997540034435e-01,9.794839499118134896e+00
-3.099119088081626308e-04,9.999999997786029882e-01,9.794839486803493145e+00
-3.106847595990104094e-04,9.999999998007426116e-01,9.794839474458106210e+00
-3.114576104133333335e-04,9.999999998206682283e-01,9.794839462081968762e+00
-3.122304612511876188e-04,9.999999998386013278e-01,9.794839449675087906e+00
-3.130033121126305656e-04,9.999999998547410840e-01,9.794839437237458313e+00
-3.137761629977189859e-04,9.999999998692667980e-01,9.794839424769081759e+00
-3.145490139065100716e-04,9.999999998823400071e-01,9.794839412269958245e+00
-3.153218648390611768e-04,9.999999998941059287e-01,9.794839399740089547e+00
-3.160947157954295474e-04,9.999999999046952359e-01,9.794839387179468559e+00
-3.168675667756727546e-04,9.999999999142256124e-01,9.794839374588104164e+00
-3.176404177798484237e-04,9.999999999228029735e-01,9.794839361965991031e+00
-3.184132688080141800e-04,9.999999999305225762e-01,9.794839349313129162e+00
-3.191861198602277032e-04,9.999999999374702409e-01,9.794839336629522109e+00
-3.199589709365467812e-04,9.999999999437231279e-01,9.794839323915166318e+00
-3.207318220370294188e-04,9.999999999493507374e-01,9.794839311170065344e+00
-3.215046731617334582e-04,9.999999999544155749e-01,9.794839298394215632e+00
-3.222775243107168499e-04,9.999999999589739286e-01,9.794839285587620736e+00
-3.230503754840376531e-04,9.999999999630764247e-01,9.794839272750277104e+00
-3.238232266817539268e-04,9.999999999667686934e-01,9.794839259882184734e+00
-3.245960779039236215e-04,9.999999999700917019e-01,9.794839246983347181e+00
-3.253689291506050131e-04,9.999999999730824207e-01,9.794839234053762667e+00
-3.261417804218561607e-04,9.999999999757740454e-01,9.794839221093427639e+00
-3.269146317177351775e-04,9.999999999781965521e-01,9.794839208102349204e+00
-3.276874830383003393e-04,9.999999999803768080e-01,9.794839195080523808e+00
-3.284603343836099221e-04,9.999999999823390162e-01,9.794839182027949676e+00
-3.292331857537219848e-04,9.999999999841049370e-01,9.794839168944626806e+00
-3.300060371486949660e-04,9.999999999856943322e-01,9.794839155830556976e+00
-3.307788885685869788e-04,9.999999999871247436e-01,9.794839142685740185e+00
-3.315517400134564076e-04,9.999999999884121582e-01,9.794839129510178211e+00
-3.323245914833615282e-04,9.999999999895707870e-01,9.794839116303869275e+00
-3.330974429783606166e-04,9.999999999906136194e-01,9.794839103066809827e+00
-3.338702944985119485e-04,9.999999999915520910e-01,9.794839089799005194e+00
-3.346431460438739082e-04,9.999999999923967486e-01,9.794839076500451824e+00
-3.354159976145047175e-04,9.999999999931569183e-01,9.794839063171151494e+00
-3.361888492104628690e-04,9.999999999938411488e-01,9.794839049811105980e+00
-3.369617008318065302e-04,9.999999999944568785e-01,9.794839036420311729e+00
-3.377345524785942479e-04,9.999999999950111018e-01,9.794839022998770517e+00
-3.385074041508842439e-04,9.999999999955098140e-01,9.794839009546482345e+00
-3.392802558487349024e-04,9.999999999959586772e-01,9.794838996063445435e+00
-3.400531075722045536e-04,9.999999999963626873e-01,9.794838982549661566e+00
-3.408259593213516358e-04,9.999999999967262854e-01,9.794838969005134288e+00
-3.415988110962344792e-04,9.999999999970535791e-01,9.794838955429856497e+00
-3.423716628969114138e-04,9.999999999973481213e-01,9.794838941823831746e+00
-3.431445147234409325e-04,9.999999999976131315e-01,9.794838928187058258e+00
-3.439173665758812025e-04,9.999999999978517184e-01,9.794838914519539586e+00
-3.446902184542908793e-04,9.999999999980664356e-01,9.794838900821272176e+00
-3.454630703587280760e-04,9.999999999982596144e-01,9.794838887092259583e+00
-3.462359222892514481e-04,9.999999999984334753e-01,9.794838873332494700e+00
-3.470087742459191629e-04,9.999999999985900168e-01,9.794838859541988185e+00
-3.477816262287897675e-04,9.999999999987309041e-01,9.794838845720731157e+00
-3.485544782379215376e-04,9.999999999988576915e-01,9.794838831868730722e+00
-3.493273302733728575e-04,9.999999999989718225e-01,9.794838817985979773e+00
-3.501001823352021115e-04,9.999999999990745181e-01,9.794838804072481864e+00
-3.508730344234679008e-04,9.999999999991668886e-01,9.794838790128236994e+00
-3.516458865382283386e-04,9.999999999992500443e-01,9.794838776153246940e+00
-3.524187386795420260e-04,9.999999999993248734e-01,9.794838762147506372e+00
-3.531915908474672389e-04,9.999999999993922639e-01,9.794838748111020621e+00
-3.539644430420623615e-04,9.999999999994528821e-01,9.794838734043786133e+00
-3.547372952633857240e-04,9.999999999995075051e-01,9.794838719945806460e+00
-3.555101475114960359e-04,9.999999999995565769e-01,9.794838705817078051e+00
-3.562829997864513563e-04,9.999999999996007638e-01,9.794838691657604457e+00
-3.570558520883102861e-04,9.999999999996405098e-01,9.794838677467380350e+00
-3.578287044171311556e-04,9.999999999996763700e-01,9.794838663246409283e+00
-3.586015567729722948e-04,9.999999999997085665e-01,9.794838648994694807e+00
-3.593744091558923048e-04,9.999999999997375433e-01,9.794838634712229819e+00
-3.601472615659492989e-04,9.999999999997636335e-01,9.794838620399017870e+00
-3.609201140032018240e-04,9.999999999997871702e-01,9.794838606055058960e+00
-3.616929664677082643e-04,9.999999999998083755e-01,9.794838591680353090e+00
-3.624658189595270585e-04,9.999999999998273603e-01,9.794838577274900260e+00
-3.632386714787165906e-04,9.999999999998444578e-01,9.794838562838698692e+00
-3.640115240253353535e-04,9.999999999998598899e-01,9.794838548371751941e+00
-3.647843765994415147e-04,9.999999999998737676e-01,9.794838533874056452e+00
-3.655572292010936209e-04,9.999999999998863132e-01,9.794838519345614003e+00
-3.663300818303501108e-04,9.999999999998975264e-01,9.794838504786426370e+00
-3.671029344872692602e-04,9.999999999999076294e-01,9.794838490196488223e+00
-3.678757871719095618e-04,9.999999999999167333e-01,9.794838475575804893e+00
-3.686486398843292914e-04,9.999999999999249489e-01,9.794838460924374601e+00
-3.694214926245869960e-04,9.999999999999322764e-01,9.794838446242193797e+00
-3.701943453927410599e-04,9.999999999999389377e-01,9.794838431529267808e+00
-3.709671981888498131e-04,9.999999999999449329e-01,9.794838416785596635e+00
-3.717400510129718026e-04,9.999999999999502620e-01,9.794838402011174949e+00
-3.725129038651651958e-04,9.999999999999551470e-01,9.794838387206008079e+00
-3.732857567454885396e-04,9.999999999999594769e-01,9.794838372370092472e+00
-3.740586096540002726e-04,9.999999999999633626e-01,9.794838357503431681e+00
-3.748314625907587247e-04,9.999999999999669154e-01,9.794838342606022152e+00
-3.756043155558222804e-04,9.999999999999701350e-01,9.794838327677863887e+00
-3.763771685492493780e-04,9.999999999999730216e-01,9.794838312718960438e+00
-3.771500215710984019e-04,9.999999999999755751e-01,9.794838297729313581e+00
-3.779228746214277363e-04,9.999999999999779066e-01,9.794838282708912658e+00
-3.786957277002958198e-04,9.999999999999800160e-01,9.794838267657766551e+00
-3.794685808077610367e-04,9.999999999999819034e-01,9.794838252575875259e+00
-3.802414339438817711e-04,9.999999999999835687e-01,9.794838237463233455e+00
-3.810142871087164617e-04,9.999999999999851230e-01,9.794838222319850018e+00
-3.817871403023234927e-04,9.999999999999864553e-01,9.794838207145712516e+00
-3.825599935247611942e-04,9.999999999999876765e-01,9.794838191940831607e+00
-3.833328467760881131e-04,9.999999999999887867e-01,9.794838176705201960e+00
-3.841057000563625253e-04,9.999999999999897859e-01,9.794838161438827129e+00
-3.848785533656428693e-04,9.999999999999906741e-01,9.794838146141703561e+00
-3.856514067039875835e-04,9.999999999999914513e-01,9.794838130813833033e+00
-3.864242600714549981e-04,9.999999999999922284e-01,9.794838115455213767e+00
-3.871971134681036599e-04,9.999999999999928946e-01,9.794838100065849318e+00
-3.879699668939916822e-04,9.999999999999934497e-01,9.794838084645736132e+00
-3.887428203491777204e-04,9.999999999999940048e-01,9.794838069194877761e+00
-3.895156738337202129e-04,9.999999999999944489e-01,9.794838053713268877e+00
-3.902885273476773813e-04,9.999999999999948930e-01,9.794838038200916586e+00
-3.910613808911076643e-04,9.999999999999952260e-01,9.794838022657813781e+00
-3.918342344640695545e-04,9.999999999999955591e-01,9.794838007083964015e+00
-3.926070880666213277e-04,9.999999999999958922e-01,9.794837991479370842e+00
-3.933799416988214767e-04,9.999999999999962252e-01,9.794837975844025380e+00
-3.941527953607283316e-04,9.999999999999964473e-01,9.794837960177936509e+00
-3.949256490524003850e-04,9.999999999999966693e-01,9.794837944481100678e+00
-3.956985027738960212e-04,9.999999999999968914e-01,9.794837928753514333e+00
-3.964713565252735161e-04,9.999999999999971134e-01,9.794837912995182805e+00
-3.972442103065915793e-04,9.999999999999972244e-01,9.794837897206102539e+00
-3.980170641179081614e-04,9.999999999999973355e-01,9.794837881386275313e+00
-3.987899179592820260e-04,9.999999999999974465e-01,9.794837865535702903e+00
-3.995627718307713408e-04,9.999999999999975575e-01,9.794837849654379980e+00
-4.003356257324346525e-04,9.999999999999976685e-01,9.794837833742313649e+00
-4.011084796643303455e-04,9.999999999999977796e-01,9.794837817799498580e+00
-4.018813336265168582e-04,9.999999999999978906e-01,9.794837801825934775e+00
-4.026541876190524666e-04,9.999999999999980016e-01,9.794837785821624010e+00
-4.034270416419956633e-04,9.999999999999981126e-01,9.794837769786569837e+00
-4.041998956954048327e-04,9.999999999999982236e-01,9.794837753720761597e+00
-4.049727497793382505e-04,9.999999999999982236e-01,9.794837737624211726e+00
-4.057456038938545180e-04,9.999999999999982236e-01,9.794837721496911342e+00
-4.065184580390119652e-04,9.999999999999982236e-01,9.794837705338863998e+00
-4.072913122148689221e-04,9.999999999999982236e-01,9.794837689150075022e+00
-4.080641664214839357e-04,9.999999999999982236e-01,9.794837672930531980e+00
-4.088370206589152277e-04,9.999999999999982236e-01,9.794837656680243754e+00
-4.096098749272214534e-04,9.999999999999982236e-01,9.794837640399208567e+00
-4.103827292264606175e-04,9.999999999999982236e-01,9.794837624087428196e+00
-4.111555835566914840e-04,9.999999999999982236e-01,9.794837607744893759e+00
-4.119284379179722743e-04,9.999999999999982236e-01,9.794837591371617691e+00
-4.127012923103615897e-04,9.999999999999982236e-01,9.794837574967592886e+00
-4.134741467339174891e-04,9.999999999999982236e-01,9.794837558532824673e+00
-4.142470011886986280e-04,9.999999999999982236e-01,9.794837542067302394e+00
-4.150198556747633364e-04,9.999999999999982236e-01,9.794837525571038483e+00
-4.157927101921699985e-04,9.999999999999982236e-01,9.794837509044025836e+00
-4.165655647409771071e-04,9.999999999999982236e-01,9.794837492486266228e+00
-4.173384193212429380e-04,9.999999999999982236e-01,9.794837475897756107e+00
